transcript_hebrew,intent
מה מזג האוויר בשבוע הבא בירושלים?,weather_query
תוסיפי לרשימת הקניות שלי בננות ותפוזים.,lists_createoradd
איך אני יכול להגיע למוזיאון תל אביב באוטובוס?,transport_query
תצלמי תמונת סלפי במצלמה הקדמית.,camera_query
תבדקי האם ירד גשם בחיפה היום בערב.,weather_query
מה התחזית למזג האוויר בסוף השבוע באילת?,weather_query
תוסיפי לרשימת הקניות אורז וקינואה.,lists_createoradd
איך אני מגיע לפארק הירקון מנתניה?,transport_query
תצלמי אותי במצלמה הקדמית עם חיוך.,camera_query
תבדקי האם חם בחיפה היום בצהריים.,weather_query
איך אני מגיע לפארק הירקון מירושלים?,transport_query
איך אני מגיע לפארק הירקון מאילת?,transport_query
תבדקי האם חם בירושלים היום בצהריים.,weather_query
איך אני מגיע לפארק הירקון מבאר שבע?,transport_query
תבדקי האם חם באילת היום בצהריים.,weather_query
איך אני מגיע לפארק הירקון מאשדוד?,transport_query
תבדקי האם חם בנתניה היום בצהריים.,weather_query
תבדקי האם חם בתל אביב היום בצהריים.,weather_query
תבדקי האם חם באשדוד היום בצהריים.,weather_query
איך אני מגיע לפארק הירקון מחיפה?,transport_query
תבדקי האם חם בבאר שבע היום בצהריים.,weather_query
איך אני מגיע לפארק הירקון מתל אביב?,transport_query
תוסיפי לרשימת הקניות חלב וביצים.,lists_createoradd
תכתבי רשימה חדשה עם ירקות ופירות.,lists_createoradd
תוסיפי עגבניות ותפוחים לרשימה שלי.,lists_createoradd
תכתבי לי רשימה עם אורז וקמח.,lists_createoradd
תוסיפי שוקולד וקפה לרשימת הקניות.,lists_createoradd
תצרי רשימה חדשה עם חלב לחם וביצים.,lists_createoradd
תכתבי רשימת קניות עם חמאה ותפוזים.,lists_createoradd
תוסיפי שקדים ושמן זית לרשימה שלי.,lists_createoradd
תכתבי רשימה עם פריטים למטבח: קמח ושמן.,lists_createoradd
תוסיפי יוגורט ובננות לרשימת הקניות.,lists_createoradd
תצרי רשימת קניות עם עוגיות וחטיפים.,lists_createoradd
תכתבי לי רשימה חדשה עם ירקות טריים.,lists_createoradd
תוסיפי לרשימה שלי פסטה ורוטב עגבניות.,lists_createoradd
תכתבי רשימה עם גבינה ולחם טרי.,lists_createoradd
תוסיפי קפה וסוכר לרשימה שלי בבקשה.,lists_createoradd
תצרי רשימת קניות עם תפוחים ואגסים.,lists_createoradd
תכתבי לי רשימה עם חטיפים לילדים.,lists_createoradd
תוסיפי שוקולד וממתקים לרשימת הקניות שלי.,lists_createoradd
תכתבי רשימה עם מוצרי חלב.,lists_createoradd
תוסיפי לרשימה שלי יין אדום וחטיפים.,lists_createoradd
תכתבי רשימה חדשה עם גבינה וקרקרים.,lists_createoradd
תוסיפי קמח וסוכר לרשימת הקניות בבקשה.,lists_createoradd
תכתבי רשימה חדשה עם תפוזים ויוגורט.,lists_createoradd
תוסיפי לרשימת הקניות שלי עגבניות וקישואים.,lists_createoradd
תכתבי לי רשימה עם מוצרים לסלט ירקות.,lists_createoradd
תוסיפי לרשימה שוקולד מריר וחטיף בריאות.,lists_createoradd
"תכתבי רשימה עם אורז, שעועית, ועדשים.",lists_createoradd
תוסיפי יין לבן ושוקולד חלב לרשימה.,lists_createoradd
תכתבי רשימה חדשה עם מוצרי אפייה.,lists_createoradd
תוסיפי לרשימה שלי פירות יער וחטיפים.,lists_createoradd
תכתבי רשימה עם חלב דל שומן ולחם מלא.,lists_createoradd
"תוסיפי לרשימה שלי תפוזים, בננות, ותפוחים.",lists_createoradd
תכתבי לי רשימת קניות עם אבוקדו ובטטה.,lists_createoradd
תוסיפי לרשימה יוגורט טבעי וקפה שחור.,lists_createoradd
תכתבי רשימה עם קטניות ושקדים.,lists_createoradd
תוסיפי שימורים ורטבים לרשימה שלי.,lists_createoradd
תכתבי לי רשימה עם ירקות קפואים.,lists_createoradd
תוסיפי לרשימה סוכריות וחטיפים לילדים.,lists_createoradd
תכתבי רשימה חדשה עם דגנים ושיבולת שועל.,lists_createoradd
תוסיפי לרשימת הקניות מוצרי בשר ועוף.,lists_createoradd
תכתבי לי רשימה עם רוטב סויה ואורז.,lists_createoradd
תוסיפי ירקות למרק כמו גזר ובצל לרשימה.,lists_createoradd
תכתבי רשימה חדשה עם פירות יבשים ואגוזים.,lists_createoradd
תוסיפי לרשימה שלי חלב עיזים וגבינה קשה.,lists_createoradd
תכתבי רשימה עם ירקות אורגניים.,lists_createoradd
תוסיפי עגבניות שרי וחסה לרשימת הקניות.,lists_createoradd
תכתבי לי רשימה עם מוצרים לבישול איטי.,lists_createoradd
תוסיפי פסטה וגבינת פרמזן לרשימה.,lists_createoradd
תכתבי רשימה חדשה עם שמן קוקוס ושקדים.,lists_createoradd
תוסיפי לרשימת הקניות חלב וביצים.,lists_createoradd
תכתבי רשימה חדשה עם ירקות ופירות.,lists_createoradd
תוסיפי עגבניות ותפוחים לרשימה שלי.,lists_createoradd
תכתבי לי רשימה עם אורז וקמח.,lists_createoradd
תוסיפי שוקולד וקפה לרשימת הקניות.,lists_createoradd
תצרי רשימה חדשה עם חלב לחם וביצים.,lists_createoradd
תכתבי רשימת קניות עם חמאה ותפוזים.,lists_createoradd
תוסיפי שקדים ושמן זית לרשימה שלי.,lists_createoradd
תכתבי רשימה עם פריטים למטבח: קמח ושמן.,lists_createoradd
תוסיפי יוגורט ובננות לרשימת הקניות.,lists_createoradd
תצרי רשימת קניות עם עוגיות וחטיפים.,lists_createoradd
תכתבי לי רשימה חדשה עם ירקות טריים.,lists_createoradd
תוסיפי לרשימה שלי פסטה ורוטב עגבניות.,lists_createoradd
תכתבי רשימה עם גבינה ולחם טרי.,lists_createoradd
תוסיפי קפה וסוכר לרשימה שלי בבקשה.,lists_createoradd
תצרי רשימת קניות עם תפוחים ואגסים.,lists_createoradd
תכתבי לי רשימה עם חטיפים לילדים.,lists_createoradd
תוסיפי שוקולד וממתקים לרשימת הקניות שלי.,lists_createoradd
תכתבי רשימה עם מוצרי חלב.,lists_createoradd
תוסיפי לרשימה שלי יין אדום וחטיפים.,lists_createoradd
תכתבי רשימה חדשה עם גבינה וקרקרים.,lists_createoradd
תוסיפי קמח וסוכר לרשימת הקניות בבקשה.,lists_createoradd
תכתבי רשימה חדשה עם תפוזים ויוגורט.,lists_createoradd
תוסיפי לרשימת הקניות שלי עגבניות וקישואים.,lists_createoradd
תכתבי לי רשימה עם מוצרים לסלט ירקות.,lists_createoradd
תוסיפי לרשימה שוקולד מריר וחטיף בריאות.,lists_createoradd
"תכתבי רשימה עם אורז, שעועית, ועדשים.",lists_createoradd
תוסיפי יין לבן ושוקולד חלב לרשימה.,lists_createoradd
תכתבי רשימה חדשה עם מוצרי אפייה.,lists_createoradd
תוסיפי לרשימה שלי פירות יער וחטיפים.,lists_createoradd
תכתבי רשימה עם חלב דל שומן ולחם מלא.,lists_createoradd
"תוסיפי לרשימה שלי תפוזים, בננות, ותפוחים.",lists_createoradd
תכתבי לי רשימת קניות עם אבוקדו ובטטה.,lists_createoradd
תוסיפי לרשימה יוגורט טבעי וקפה שחור.,lists_createoradd
תכתבי רשימה עם קטניות ושקדים.,lists_createoradd
תוסיפי שימורים ורטבים לרשימה שלי.,lists_createoradd
תכתבי לי רשימה עם ירקות קפואים.,lists_createoradd
תוסיפי לרשימה סוכריות וחטיפים לילדים.,lists_createoradd
תכתבי רשימה חדשה עם דגנים ושיבולת שועל.,lists_createoradd
תוסיפי לרשימת הקניות מוצרי בשר ועוף.,lists_createoradd
תכתבי לי רשימה עם רוטב סויה ואורז.,lists_createoradd
תוסיפי ירקות למרק כמו גזר ובצל לרשימה.,lists_createoradd
תכתבי רשימה חדשה עם פירות יבשים ואגוזים.,lists_createoradd
תוסיפי לרשימה שלי חלב עיזים וגבינה קשה.,lists_createoradd
תכתבי רשימה עם ירקות אורגניים.,lists_createoradd
תוסיפי עגבניות שרי וחסה לרשימת הקניות.,lists_createoradd
תכתבי לי רשימה עם מוצרים לבישול איטי.,lists_createoradd
תוסיפי פסטה וגבינת פרמזן לרשימה.,lists_createoradd
תכתבי רשימה חדשה עם שמן קוקוס ושקדים.,lists_createoradd
איך מגיעים לתחנת הרכבת הקרובה?,transport_query
תראי לי מסלול מביתי לים בתל אביב.,transport_query
תבדקי מה האוטובוס הכי קרוב לקניון.,transport_query
איך אפשר להגיע לאוניברסיטה באשדוד?,transport_query
תראי לי את הדרך הכי קצרה לאילת.,transport_query
