transcript_hebrew,intent,label
 תתקשרי לאנה לוי,call_contact,1
 תכווני למחר בבוקר בשעה שש ארבעים ושמונה שעון מעורר,alarm_set,1
 תשלחי לישראל זילברמן הודעת טקסט תתקשר אליי כשתתפנה בבקשה,send_message,1
 מהי עיר הבירה של בליז,query,1
 איך מגיעים לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,1
 תקבעי פגישה עם דוקטור רימון ותקראי לה תור לרופא ברביעי ביוני בשתיים וחצי,calendar_set,0
 תקבעי פגישה בשם תור לרופא ברביעי ביוני בשתיים וחצי ותכתבי בהערות לדוקטור רימון,calendar_set,0
 תוסיפי ללוח שנה ברביעי ליוני בשתיים וחצי פגישה עם דוקטור רימון בשם תור לרופא,calendar_set,1
 תצלמי תמונה,camera_query,1
 האם אמור לרדת מחר גשם בתל אביב,weather_query,1
 תוסיפי פתק ותכתבי בו חלב ביצים ודגים,lists_createoradd,1
 תדליקי את הפנס,iot_wemo_on,1
 תתקשרי לאנה לוי,call_contact,1
 תכווני שעון מעורר לשעה שש וארבעים שמונה מחר,alarm_set,1
 תשלחי הודעה לישראל זילברמן תתקשר אליי כשתתפנה בבקשה,send_message,1
 מה עיר הבירה של בליז,query,1
 איך אני מגיע לשדרות רוטשילד שלושים ברגל,transport_query,1
 תקבעי לי תור לרביעי ביוני בשעה שתיים ושלושים בצהריים פגישה עם דוקטור רימון,calendar_set,1
 תקבעי לי פגישה עם דוקטור רימון בתאריך הרביעי ליוני בשעה שתיים וחצי בצהריים,calendar_set,1
 תצלמי לי תמונה,camera_query,1
 האם יירד מחר גשם בתל אביב,weather_query,1
 תוסיפי לפתקים רשימת קניות חלב ביצים ודגים,lists_createoradd,0
 תוסיפי לי לפתקים רשימת קניות חלב ביצים ודגים,lists_createoradd,0
 תוסיפי לי פתק חדש רשימת קניות חלב ביצים ודגים,lists_createoradd,1
 תדליקי את הפנס,iot_wemo_on,1
 תתקשרי בבקשה לאנה לוי,call_contact,1
 תכווני לי שעון מעורר בבקשה למחר בשעה שש ארבעים ושמונה בבוקר,alarm_set,0
 את יכולה לכוון שעון למחר בבוקר בשעה שש ארבעים ושמונה,alarm_set,1
 את יכולה בבקשה לשלוח הודעת אסאמס לישראל זילברמן תתקשר אליי כשתתפנה בבקשה,send_message,1
 מה העיר בירה של בליז,query,1
 איך אני מגיעה לשדרות רוטשילד שלושים בבאר שבע בהליכה ברגל,transport_query,0
 תפתחי את אפליקציית מפות ותראי לי מסלול הליכה ברגל לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 איך אני מגיעה לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 תראי לי את המסלולי הליכה ברגל לרוטשילד שלושים בבאר שבע,transport_query,0
 איך אני מנווטת מכאן לשדרות רוטשילד שלושים בבאר שבע בהליכה רגלית,transport_query,0
 תני לי הוראות הגעה ברגל להגיע לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 אני רוצה להכניס פגישה חדשה ליומן עם דוקטור רימון תקראי לזה תור לרופא בתאריך הרביעי ליוני בשעה ארבע וחצי,calendar_set,1
 את יכולה לפתוח לי מצלמה אחורית,camera_query,0
 את יכולה לפתוח לי את המצלמה,camera_query,1
 מה המזג אוויר מחר בתל אביב,weather_query,1
 תצרי לי פתק חדש עם רשימת קניות חלב ביצים ודגים,lists_createoradd,1
 תדליקי לי פנס,iot_wemo_on,1
", תתקשרי לאנה לוי",call_contact,1
", שימי שעון מעורר לשש ארבעים ושמונה",alarm_set,0
", שימי שעון מעורר לשש וארבעים ושמונה דקות בבוקר",alarm_set,1
 תשלחי הודעה לישראל זילברמן תתקשר אלי כשתתפנה בבקשה,send_message,1
 מה העיר בירה של בליז,query,1
 איך מגיעים לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,1
 תוסיפי ליומן פגישה עם דוקטור רימון תקראי לפגישה דוקטור רימון,calendar_set,1
 שימי ביומן תור לרופא בתאריך הרביעי לשישי בשעה שתיים וחצי,calendar_set,1
 תפתחי את המצלמה,camera_query,1
 ירד מחר גשם בתל אביב,weather_query,1
 תרשמי פתק שיהיה בו רשימת קניות שיהיה בה חלב ביצים ודגים,lists_createoradd,1
 תדליקי את הפנס,iot_wemo_on,1
 תתקשרי לאנה לוי,call_contact,1
 שימי לי שעון מעורר לשעה לשש ארבעים ושמונה בבוקר,alarm_set,0
 שימי לי שעון מעורר לשעה שש ארבעים ושמונה דקות בבוקר,alarm_set,1
 שלחי אס אם אס לישראל זילברמן,send_message,0
 אנא שלחי לישראל זילברמן את הודעת הטקסט הבאה: תתקשר אלי כשתתפנה בבקשה,send_message,0
 תשלחי לישראל זילברמן תתקשר אלי כשתתפנה בבקשה,send_message,1
 מה העיר בירה של בליז,query,1
 איך אני מגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,1
 הכניסי לי פגישה ליומן פגישה עם דוקטור רמון בשם תור לרופא בתאריך הרביעי לשישי בשעה ארבע עשרה ושלושים,calendar_set,1
 צלמי לי תמונה,camera_query,1
 האם ירד גשם מחר בתל אביב,weather_query,1
" אני רוצה לרשום פתק, הפתק יקרא רשימת קניות, בפתק יהיה רשום חלב שורה למטה ביצים שורה למטה דגים",lists_createoradd,0
 צרי לי פתק בשם רשימת קניות בפתק יהיה כתוב חלב ביצים ודגים,lists_createoradd,1
 הדליקי פנס,iot_wemo_on,1
 את יכולה לחייג לאנה לוי,call_contact,1
 את יכולה לכוון שעון מעורר למחר בשעה שש ארבעים ושמונה בבוקר,alarm_set,1
 תשלחי הודעת אס אם אס לישראל זילברמן תתקשר אלי כשתתפנה בבקשה,send_message,1
 את יכולה לבדוק לי מה עיר הבירה של בליז,query,1
 את יכולה להפעיל לי ניווט משדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 את יכולה להראות לי איך להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
