transcript_hebrew,intent,label,intent_num
שלום אני צריכה להתקשר תקשרי אותי בבקשה לאנה לוי,call_contact,0,2
אני צריכה לכוון שעון מעורר למחר לשעה שש ארבעים ושמונה בבקשה,alarm_set,0,0
תשלחי בבקשה לישראל זילברמן הודעת טקסט הבאה בבקשה תשלחי לו באסאמס שיתקשר אליי כשיתפנה בבקשה,send_message,0,7
אני צריכה להגיע בבקשה לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0,8
אני צריכה שתכניסי ליומן ליומן הפגישה עם דוקטור רימון בתאריך רביעי לשישי עשרים וחמש בשעה שתיים וחצי,calendar_set,0,1
מעוניינת להכניס ליומן פגישה עם דוקטור רימון שיהיה בתאריך רביעי לשישי עשרים וחמש בשעה שתיים וחצי ,calendar_set,0,1
אני מעוניינת להכניס ליומן פגישה עם דוקטור חביב בתאריך רביעי לשישי עשרים וחמש בשעה שתיים וחצי,calendar_set,0,1
מדברת אנה מעוניינת שתכניסי ליומן פגישה עם דוקטור חביב ברביעי לשישי עשרים וחמש בשעה שתיים וחצי,calendar_set,0,1
מעוניינת שתכניסי ליומן של אנה פגישה עם דוקטור רימון בתאריך רביעי לשישי עשרים וחמש בשעה שתיים וחצי,calendar_set,0,1
מעוניינת לצלם תמונה של הנוף בעזרת אייפון,camera_query,0,3
אני צריכה בבקשה רשימת קניות של חלב ביצים דגים,lists_createoradd,0,5
 אני רוצה לכוון שעון מעורר לשעה תשע עשרה חמישים וחמש בערב תודה מראש. ,alarm_set,0,0
 מה עיר הבירה של מוזיביק תודה מראש אני רוצה להיות שם תודה,query,0,6
 אני מעוניינת לדעת מה עיר הבירה של מוזיביק תודה מראש,query,0,6
 אני מעוניינת להיפגש פגישה עם יוסי שטרית בשעה שבע תודה מראש,calendar_set,0,1
אני רוצה להיפגש עם יוסי שטרית לעזור לו עם הבישולים תודה מראש היום  ,calendar_set,0,1
 אני מעוניינת להיפגש עם יוסי שטרית פגישה ,calendar_set,0,1
 אני רוצה לקבוע פגישה עם יוסי שטרית תודה,calendar_set,0,1
" אני מוכנה לצלם נוף, אני אוהבת לצלם נופים תודה מראש",camera_query,0,3
" אני רוצה אני מוכנה לצלם נוף, אני אוהבת לצלם נופים תודה מראש",camera_query,0,3
 אני רוצה לשלוח תמונה תודה,camera_query,0,3
 אני רוצה לצלם נוף תודה,camera_query,0,3
", אני מוכנה לקנות עוגיות, דגנים תודה מראש",lists_createoradd,0,5
 אני מבקשת להתקשר לישראל זילברמן ולרשום לו שהוא יתקשר אלי כשהוא יתפנה,send_message,0,7
אני מבקשת לבדוק מה העיר בירה של בליז,query,0,6
 אני צריכה להגיע לשדרות רוטשילד בבאר שבע ברגל את יכולה לכוון אותי בבקשה?,transport_query,0,8
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל אפשר לשלוח לי מפה?,transport_query,0,8
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע תוכל לכוון אותי היכן בדיוק איך בדיוק ללכת לשם כי אני צריכה להגיע לשם ברגל,transport_query,0,8
