transcript_hebrew,intent,label
אני צריכה את אנה לוי,call_contact,0
שלום אני צריכה להתקשר תקשרי אותי בבקשה לאנה לוי,call_contact,0
תקשרי אותי בבקשה לאנה לוי,call_contact,1
אני צריכה לכוון שעון מעורר למחר לשעה שש ארבעים ושמונה בבקשה,alarm_set,0
תכווני אותי למחר שעון מעורר בשעה שש ארבעים ושמונה בבקשה בבוקר,alarm_set,1
תשלחי בבקשה לישראל זילברמן הודעת טקסט הבאה בבקשה תשלחי לו באסאמס שיתקשר אליי כשיתפנה בבקשה,send_message,0
תשלחי לישראל זילברמן בבקשה באסאמס שיתקשר אליי בבקשה כשיתפנה,send_message,1
בדקי לי בבקשה מתי חל יום העצמאות של הונגריה,query,1
אני צריכה להגיע בבקשה לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,1
אני צריכה שתכניסי ליומן ליומן הפגישה עם דוקטור רימון בתאריך רביעי לשישי עשרים וחמש בשעה שתיים וחצי,calendar_set,0
מעוניינת להכניס ליומן פגישה עם דוקטור רימון שיהיה בתאריך רביעי לשישי עשרים וחמש בשעה שתיים וחצי ,calendar_set,0
אני מעוניינת להכניס ליומן פגישה עם דוקטור חביב בתאריך רביעי לשישי עשרים וחמש בשעה שתיים וחצי,calendar_set,0
מדברת אנה מעוניינת שתכניסי ליומן פגישה עם דוקטור חביב ברביעי לשישי עשרים וחמש בשעה שתיים וחצי,calendar_set,0
מעוניינת שתכניסי ליומן של אנה פגישה עם דוקטור רימון בתאריך רביעי לשישי עשרים וחמש בשעה שתיים וחצי,calendar_set,0
מעוניינת לצלם תמונה של הנוף בעזרת אייפון,camera_query,0
אני צריכה בבקשה שתצלמי לי לצלם תמונה של הנוף בעזרת אייפון אני צריכה תמונה בבקשה,camera_query,1
האם ירד מחר גשם בתל אביב?,weather_query,1
אני צריכה בבקשה רשימת קניות של חלב ביצים דגים,lists_createoradd,0
אני צריכה שתכיני לי פתק של רשימת קניות שבה יהיה כתוב חלב ביצים דגים,lists_createoradd,1
